layer,output_norm,yd_emb_norm
2,25.126361846923828,3.161048650741577
2,25.555002212524414,3.160756826400757
2,25.653043746948242,3.1604795455932617
2,25.506977081298828,3.1601619720458984
2,25.355154037475586,3.1598455905914307
2,25.198528289794922,3.159515857696533
2,24.750072479248047,3.159177780151367
2,24.38727569580078,3.158827781677246
2,24.757366180419922,3.158539056777954
2,24.841249465942383,3.158262252807617
2,25.820419311523438,3.158017158508301
2,25.408361434936523,3.15773344039917
2,25.50613784790039,3.157413959503174
2,25.216890335083008,3.157085418701172
2,24.747467041015625,3.1567704677581787
2,24.532466888427734,3.1564865112304688
2,24.645837783813477,3.1562275886535645
2,24.76667022705078,3.155932664871216
2,24.896081924438477,3.155625581741333
2,25.233144760131836,3.1553049087524414
2,24.865833282470703,3.1549761295318604
2,24.264671325683594,3.154632806777954
2,24.711313247680664,3.1543145179748535
2,24.273326873779297,3.154020309448242
2,24.579164505004883,3.153757333755493
2,24.189531326293945,3.1534955501556396
2,24.56865882873535,3.1534955501556396
2,24.07105255126953,3.1534955501556396
2,24.30219841003418,3.1534955501556396
2,24.34535026550293,3.1534957885742188
2,24.000988006591797,3.1534955501556396
2,24.000988006591797,3.1534955501556396
2,23.91971778869629,3.1534955501556396
2,23.91971778869629,3.1534955501556396
2,24.52716827392578,3.1534955501556396
2,24.52716827392578,3.1534955501556396
2,24.46826171875,3.1534955501556396
2,24.46826171875,3.1534955501556396
2,23.963043212890625,3.1534955501556396
2,23.963043212890625,3.1534955501556396
2,24.573183059692383,3.1534955501556396
2,24.397109985351562,3.153233289718628
2,24.739791870117188,3.152956962585449
2,23.94340705871582,3.1526455879211426
2,24.56972885131836,3.152348279953003
2,24.453523635864258,3.152095079421997
2,24.66738510131836,3.151850461959839
2,24.624656677246094,3.1515657901763916
2,24.337482452392578,3.1512327194213867
2,24.301528930664062,3.150907278060913
2,24.033456802368164,3.1506049633026123
2,24.300193786621094,3.1503355503082275
2,24.955507278442383,3.150099039077759
2,25.413219451904297,3.149846076965332
2,25.082199096679688,3.149552583694458
2,24.699735641479492,3.1491928100585938
2,24.795459747314453,3.1488518714904785
2,23.926841735839844,3.1485016345977783
2,24.399219512939453,3.148186445236206
2,23.79877281188965,3.147928476333618
2,24.03992462158203,3.1477019786834717
2,23.70769500732422,3.147474765777588
2,24.51512336730957,3.147212505340576
2,24.236101150512695,3.146914005279541
2,24.253511428833008,3.1466054916381836
2,23.345678329467773,3.146296501159668
2,23.49054527282715,3.1459970474243164
2,23.70047378540039,3.1457228660583496
2,24.074888229370117,3.1454527378082275
2,24.766387939453125,3.1451961994171143
2,24.909334182739258,3.144932985305786
2,25.061870574951172,3.1446216106414795
2,24.527484893798828,3.144256353378296
2,24.314014434814453,3.1438069343566895
2,23.579904556274414,3.14334774017334
2,23.409154891967773,3.1429014205932617
2,23.89381217956543,3.1425700187683105
2,23.544158935546875,3.142347574234009
