transmission_cluster,obs,base_date,y,d
102,4,2021-07-11,6,12
102,5,2021-07-12,6,11
103,1,2021-07-13,73,13
103,2,2021-07-14,49,12
103,3,2021-07-15,40,11
103,4,2021-07-16,37,10
103,5,2021-07-17,37,9
104,1,2021-07-13,118,14
104,2,2021-07-14,102,13
104,3,2021-07-15,93,12
104,4,2021-07-16,93,11
104,5,2021-07-17,93,10
105,1,2021-07-13,37,10
105,2,2021-07-14,21,9
105,3,2021-07-15,12,8
105,4,2021-07-16,12,7
105,5,2021-07-17,12,6
106,1,2021-07-14,80,8
106,2,2021-07-15,53,7
106,3,2021-07-16,52,6
106,4,2021-07-17,52,5
106,5,2021-07-18,44,4
107,1,2021-07-14,68,5
107,2,2021-07-15,32,4
107,3,2021-07-16,31,3
107,4,2021-07-17,31,2
107,5,2021-07-18,27,1
108,1,2021-07-15,263,21
108,2,2021-07-16,258,20
108,3,2021-07-17,258,19
108,4,2021-07-18,230,18
108,5,2021-07-19,131,17
109,1,2021-07-16,126,16
109,2,2021-07-17,126,15
109,3,2021-07-18,110,14
109,4,2021-07-19,101,13
109,5,2021-07-20,81,12
110,1,2021-07-18,93,19
110,2,2021-07-19,84,18
110,3,2021-07-20,72,17
110,4,2021-07-21,68,16
110,5,2021-07-22,64,15
111,1,2021-07-19,5,3
111,2,2021-07-20,5,2
111,3,2021-07-21,4,1
111,4,2021-07-22,0,0
112,1,2021-07-19,60,10
112,2,2021-07-20,56,9
112,3,2021-07-21,55,8
112,4,2021-07-22,39,7
112,5,2021-07-23,35,6
113,1,2021-07-20,39,13
113,2,2021-07-21,38,12
113,3,2021-07-22,34,11
113,4,2021-07-23,34,10
113,5,2021-07-24,30,9
114,1,2021-07-20,113,15
114,2,2021-07-21,105,14
114,3,2021-07-22,97,13
114,4,2021-07-23,89,12
114,5,2021-07-24,85,11
115,1,2021-07-20,20,11
115,2,2021-07-21,20,10
115,3,2021-07-22,20,9
115,4,2021-07-23,20,8
115,5,2021-07-24,20,7
116,1,2021-07-21,25,7
116,2,2021-07-22,13,6
116,3,2021-07-23,13,5
116,4,2021-07-24,9,4
116,5,2021-07-25,9,3
117,1,2021-07-21,717,30
117,2,2021-07-22,705,29
117,3,2021-07-23,685,28
117,4,2021-07-24,669,27
117,5,2021-07-25,669,26
118,1,2021-07-23,69,12
118,2,2021-07-24,69,11
118,3,2021-07-25,67,10
118,4,2021-07-26,67,9
118,5,2021-07-27,58,8
119,1,2021-07-24,18,9
119,2,2021-07-25,17,8
119,3,2021-07-26,8,7
119,4,2021-07-27,8,6
119,5,2021-07-28,8,5
120,1,2021-07-26,138,16
120,2,2021-07-27,102,15
120,3,2021-07-28,57,14
120,4,2021-07-29,45,13
120,5,2021-07-30,45,12
121,1,2021-07-27,144,11
121,2,2021-07-28,54,10
121,3,2021-07-29,38,9
121,4,2021-07-30,26,8
121,5,2021-07-31,25,7
122,1,2021-07-27,161,18
122,2,2021-07-28,161,17
122,3,2021-07-29,161,16
122,4,2021-07-30,157,15
122,5,2021-07-31,156,14
123,1,2021-07-27,88,13
123,2,2021-07-28,79,12
123,3,2021-07-29,71,11
123,4,2021-07-30,71,10
123,5,2021-07-31,71,9
124,1,2021-07-28,130,19
124,2,2021-07-29,122,18
124,3,2021-07-30,118,17
124,4,2021-07-31,117,16
124,5,2021-08-01,99,15
125,1,2021-07-28,72,13
125,2,2021-07-29,48,12
125,3,2021-07-30,44,11
125,4,2021-07-31,41,10
125,5,2021-08-01,32,9
126,1,2021-07-28,25,5
126,2,2021-07-29,13,4
126,3,2021-07-30,5,3
126,4,2021-07-31,4,2
126,5,2021-08-01,4,1
127,1,2021-07-29,51,14
127,2,2021-07-30,47,13
127,3,2021-07-31,45,12
127,4,2021-08-01,36,11
127,5,2021-08-02,24,10
128,1,2021-07-29,53,8
128,2,2021-07-30,53,7
128,3,2021-07-31,52,6
128,4,2021-08-01,52,5
128,5,2021-08-02,52,4
129,1,2021-07-30,48,5
129,2,2021-07-31,44,4
129,3,2021-08-01,26,3
129,4,2021-08-02,18,2
129,5,2021-08-03,18,1
130,1,2021-07-31,38,10
130,2,2021-08-01,38,9
130,3,2021-08-02,38,8
130,4,2021-08-03,34,7
130,5,2021-08-04,16,6
131,1,2021-08-01,83,14
131,2,2021-08-02,79,13
131,3,2021-08-03,75,12
131,4,2021-08-04,39,11
131,5,2021-08-05,23,10
132,1,2021-08-01,153,12
132,2,2021-08-02,149,11
132,3,2021-08-03,145,10
132,4,2021-08-04,118,9
132,5,2021-08-05,86,8
133,1,2021-08-02,107,8
133,2,2021-08-03,99,7
133,3,2021-08-04,81,6
133,4,2021-08-05,49,5
133,5,2021-08-06,17,4
134,1,2021-08-03,159,12
134,2,2021-08-04,150,11
134,3,2021-08-05,102,10
134,4,2021-08-06,86,9
134,5,2021-08-07,85,8
135,1,2021-08-03,392,15
135,2,2021-08-04,374,14
135,3,2021-08-05,230,13
135,4,2021-08-06,150,12
135,5,2021-08-07,148,11
136,1,2021-08-04,78,4
136,2,2021-08-05,78,3
136,3,2021-08-06,14,2
136,4,2021-08-07,9,1
136,5,2021-08-08,0,0
137,1,2021-08-04,132,5
137,2,2021-08-05,68,4
137,3,2021-08-06,68,3
137,4,2021-08-07,68,2
137,5,2021-08-08,50,1
138,1,2021-08-06,101,5
138,2,2021-08-07,100,4
138,3,2021-08-08,82,3
138,4,2021-08-09,32,2
138,5,2021-08-10,16,1
139,1,2021-08-06,245,19
139,2,2021-08-07,241,18
139,3,2021-08-08,205,17
139,4,2021-08-09,130,16
139,5,2021-08-10,98,15
140,1,2021-08-07,153,11
140,2,2021-08-08,144,10
140,3,2021-08-09,119,9
140,4,2021-08-10,55,8
140,5,2021-08-11,23,7
141,1,2021-08-08,73,4
141,2,2021-08-09,48,3
141,3,2021-08-10,16,2
141,4,2021-08-11,16,1
141,5,2021-08-12,0,0
142,1,2021-08-09,148,7
142,2,2021-08-10,84,6
142,3,2021-08-11,52,5
142,4,2021-08-12,36,4
142,5,2021-08-13,32,3
143,1,2021-08-09,487,10
143,2,2021-08-10,471,9
143,3,2021-08-11,279,8
143,4,2021-08-12,215,7
143,5,2021-08-13,179,6
144,1,2021-08-10,185,13
144,2,2021-08-11,121,12
144,3,2021-08-12,73,11
144,4,2021-08-13,69,10
144,5,2021-08-14,51,9
145,1,2021-08-11,88,9
145,2,2021-08-12,72,8
145,3,2021-08-13,68,7
145,4,2021-08-14,50,6
145,5,2021-08-15,50,5
146,1,2021-08-12,119,14
146,2,2021-08-13,111,13
146,3,2021-08-14,93,12
146,4,2021-08-15,85,11
146,5,2021-08-16,85,10
147,1,2021-08-12,39,5
147,2,2021-08-13,35,4
147,3,2021-08-14,17,3
147,4,2021-08-15,17,2
147,5,2021-08-16,16,1
148,1,2021-08-13,45,4
148,2,2021-08-14,36,3
148,3,2021-08-15,16,2
148,4,2021-08-16,16,1
148,5,2021-08-17,0,0
149,1,2021-08-14,91,8
149,2,2021-08-15,59,7
149,3,2021-08-16,54,6
149,4,2021-08-17,54,5
149,5,2021-08-18,45,4
150,1,2021-08-15,452,15
150,2,2021-08-16,451,14
150,3,2021-08-17,435,13
150,4,2021-08-18,237,12
150,5,2021-08-19,189,11
151,1,2021-08-16,202,13
151,2,2021-08-17,138,12
151,3,2021-08-18,102,11
151,4,2021-08-19,70,10
151,5,2021-08-20,45,9
152,1,2021-08-17,124,9
152,2,2021-08-18,106,8
152,3,2021-08-19,58,7
152,4,2021-08-20,33,6
152,5,2021-08-21,33,5
153,1,2021-08-17,180,3
153,2,2021-08-18,162,2
153,3,2021-08-19,50,1
153,4,2021-08-20,0,0
154,1,2021-08-18,32,1
154,2,2021-08-19,0,0
155,1,2021-08-18,92,15
155,2,2021-08-19,60,14
155,3,2021-08-20,60,13
155,4,2021-08-21,28,12
155,5,2021-08-22,20,11
156,1,2021-08-18,123,17
156,2,2021-08-19,107,16
156,3,2021-08-20,57,15
156,4,2021-08-21,25,14
156,5,2021-08-22,21,13
157,1,2021-08-19,122,19
157,2,2021-08-20,97,18
157,3,2021-08-21,81,17
157,4,2021-08-22,81,16
157,5,2021-08-23,81,15
158,1,2021-08-20,36,2
158,2,2021-08-21,20,1
